@relation e

@attribute vites{1,2,3,4,5,6}
@attribute hiz real
@attribute devir real
@attribute onceki{1,2,3,4,5,6}

@data
2,7,48,1
1,7,23,2
2,7,46,1
3,16,52,2
4,21,49,3
3,14,26,4
2,11,27,3
1,6,25,2
2,11,54,1
3,17,53,2
4,23,51,3
5,37,62,4
6,41,51,5
5,24,28,6
4,21,28,5
3,15,27,4
2,9,24,3
1,6,24,2
